Unnamed: 0,row_index,id,bill_id,cong,bill_type,bill_no,name_full,description,intr_date,intr_month,year,pap_majortopic,pap_subtopic,majortopic,subtopic,filter_plaw,plaw_date,plaw_no,pass_h,pass_s,majority,party,chamber,comment,predicted_label,inference_path
35,35,448710,111-H-5652,111,HR,5652,Carolyn B. Maloney,To direct the Federal Trade Commission to prescribe rules prohibiting deceptive advertising of abortion services.,6/30/10,6.0,2010,15,1525,15,1525,0,0000-00-00,,0.0,0.0,1.0,100.0,1,0,15,L3_Expert_Consensus
36,36,360794,92-S-76,92,S,76,"NELSON, GAYLORD","A bill to amend sections 201(s) and 409 of the Federal Food, Drug, and Cosmetic Act, as amended, relating to food additives",,,1971,4,403,4,403,0,,,0.0,0.0,1.0,100.0,2,,4,L2_Heterogeneous_Match
37,37,420048,106-HR-1394,106,HR,1394,Bill McCollum,"To provide for the appointment of additional Federal district judges in the State of Florida, and for other purposes.",4/13/99,4.0,1999,12,1204,12,1204,0,,0,0.0,0.0,1.0,200.0,1,,12,L2_Heterogeneous_Match
38,38,51709,81-HR-6549,81,HR,6549,"Mack, Russell V.",To repeal the taxes on transportation of persons and property,,,1950,10,1000,10,1000,0,,,0.0,0.0,0.0,200.0,1,,10,L2_Heterogeneous_Match
39,39,426594,108-HR-2259,108,HR,2259,Dana T. Rohrabacher,"To prohibit funds appropriated for the Export-Import Bank of the United States, any international financial institution, or the North American Development Bank from being used for loans to a country, or for a project or activity in a country, and to prohibit the Overseas Private Investment Corporation from supporting projects in a country, until the government of the country has honored all United States requests to extradite criminals who have committed a crime punishable by life imprisonment or death.",5/22/03,5.0,2003,18,1804,18,1804,0,,0,0.0,0.0,1.0,200.0,1,,19,L3_Expert_Consensus
40,40,444826,111-H-2156,111,HR,2156,Paul Tonko,To implement a pilot program to establish truck parking facilities.,4/28/09,4.0,2009,10,1002,10,1002,0,0000-00-00,,0.0,0.0,1.0,100.0,1,0,10,L2_Heterogeneous_Match
41,41,49223,81-HR-3872,81,HR,3872,Martin of Massachusetts,"To amend section 2402 (a) of the Internal Revenue Code, as amended, and to repeal section 2402 (b) of the Internal Revenue Code, as amended",,,1949,1,107,1,107,0,,,0.0,0.0,,,1,,1,L2_Heterogeneous_Match
42,42,111361,86-HR-10893,86,HR,10893,"Anfuso, Victor L.","To require the filing of a registration statement with the Federal Bureau of Investigation with respect to each pistol ,possessed by any private person in the United States",,,1960,12,1209,12,1227,0,,,0.0,0.0,1.0,100.0,1,,12,L2_Heterogeneous_Match
43,43,446683,111-H-3828,111,HR,3828,Judy Biggert,"To temporarily suspend the approval or certification of any housing counseling agencies of ACORN or its affiliates and require the Inspector General of the Department of Housing and Urban Development to conduct an audit of any assistance provided by the Department to ACORN and its affiliates, and for other purposes.",10/15/09,10.0,2009,14,1400,14,1400,0,0000-00-00,,0.0,0.0,0.0,200.0,1,0,14,L2_Heterogeneous_Match
44,44,103253,86-HR-2917,86,HR,2917,"Miller, William E.",To amend section 2385 of title 18 of the United States Code to define the term organize as used in that section,,,1959,2,209,2,209,0,,,0.0,0.0,0.0,200.0,1,,12,L2_Heterogeneous_Match
45,45,33791,107-HR-1489,107,HR,1489,Edward J. Ed Markey,"To amend certain Federal civil rights statutes to prevent the involuntary application of arbitration to claims that arise from unlawful employment discrimination based on race, color, religion, sex, national origin, age, or disability, and for other purposes.",2004/4/1,4.0,2001,2,200,2,200,0,,,0.0,0.0,0.0,100.0,1,,2,L2_Heterogeneous_Match
46,46,389290,80-S-1131,80,S,1131,"Pepper, Claude",A bill to aid the States in establishing and maintaining scholarship and loan programs for the purpose of enabling individuals to obtain education in the eleventh year of school grade or above.,,,1947,6,601,6,601,0,,,0.0,0.0,0.0,100.0,2,,6,L2_Heterogeneous_Match
47,47,299581,102-S-979,102,S,979,Jeff Bingaman,"A bill to provide for strong Department of Energy support of research and development of technologies identified in the most recent National Critical Technologies Report as critical to United States economic prosperity and national security, and for other purposes.",4/25/91,4.0,1991,1,108,1,108,0,,0,0.0,0.0,1.0,100.0,2,,8,L2_Heterogeneous_Match
48,48,114173,87-HR-276,87,HR,276,"Wilson, Robert C.","To authorize certain beach erosion control of the shore in San Diego County, Calif",,,1961,7,711,7,711,0,,,0.0,0.0,0.0,200.0,1,,21,L3_Expert_Consensus
49,49,230173,93-HR-17242,93,HR,17242,Edward Ross Roybal,A bill to provide for public ownership of all objects and materials prepared for or by the President or Vice President of the United States in connection with public business.,10/10/74,10.0,1974,2,208,2,208,0,,0,0.0,0.0,1.0,100.0,1,,20,L2_Heterogeneous_Match
50,50,58793,82-HR-3543,82,HR,3543,"Celler, Emanuel","To amend the Communications Act of 1934, so as to require that at least 25 percent of the regular program operating schedule of each commercial television station shall be devoted to noncommercial education programs",,,1951,17,1707,17,1707,0,,,0.0,0.0,1.0,100.0,1,,17,L2_Heterogeneous_Match
51,51,331801,84-S-3987,84,S,3987,"Bennett, Walla",A bill to provide for the establishment of additional animal disease laboratory facilities at or near the Utah State Agriculture College,,,1956,4,405,4,405,0,,,0.0,0.0,0.0,200.0,2,,4,L2_Heterogeneous_Match
52,52,189705,91-HR-10554,91,HR,10554,"Koch, Edward I.","To establish an urban mass transportation trust fund, and for other purposes",,,1969,10,1001,10,1001,0,,,0.0,0.0,1.0,100.0,1,,10,L2_Heterogeneous_Match
53,53,424237,106-HR-5583,106,HR,5583,John F. Tierney,To amend the Higher Education Act of 1965 to establish an alternative path to teaching in needy school districts.,10/26/00,10.0,2000,6,603,6,603,0,,0,0.0,0.0,0.0,100.0,1,,6,L2_Heterogeneous_Match
54,54,26144,104-HR-1545,104,HR,1545,James L. Oberstar,"To provide for the certification by the Federal Aviation Administration of airports serving commuter air carriers, and for other purposes.",5/2/95,5.0,1995,10,1003,10,1003,0,,0,0.0,0.0,0.0,100.0,1,,10,L2_Heterogeneous_Match
55,55,256189,95-HR-9531,95,HR,9531,Peter Wallace Rodino,A bill to amend the Immigration and Nationality Act.,10/12/77,10.0,1977,9,900,9,900,0,,0,0.0,0.0,1.0,100.0,1,,9,L2_Heterogeneous_Match
56,56,193508,91-HR-14338,91,HR,14338,"Shipley, George E.",To amend the Foreign Assistance Act of 1961,,,1969,19,1901,19,1901,0,,,0.0,0.0,1.0,100.0,1,,19,L2_Heterogeneous_Match
57,57,277953,97-HR-6571,97,HR,6571,Margaret M. Heckler,A bill to require that a representative of small business be appointed to all Federal advisory councils on business.,6/10/82,6.0,1982,15,1521,15,1521,0,,0,0.0,0.0,0.0,200.0,1,,15,L2_Heterogeneous_Match
58,58,228833,93-HR-10651,93,HR,10651,Henry Schoellkopf Reuss,"A bill to amend the Fish and Wildlife Coordination Act, and for other purposes.",10/2/73,10.0,1973,7,709,7,709,0,,0,0.0,0.0,1.0,100.0,1,,7,L2_Heterogeneous_Match
59,59,286183,98-HR-2217,98,HR,2217,Gillespie V. Sonny Montgomery,A bill to provide military commissary and exchange privileges to the surviving spouses of veterans dying from a service-connected disability.,3/21/83,3.0,1983,16,1609,16,1609,0,,0,0.0,0.0,1.0,100.0,1,,16,L2_Heterogeneous_Match
60,60,133387,88-HR-6221,88,HR,6221,"Vanik, Charles A.",To amend the Area Redevelopment Act to clarify the areas which may be designated as redevelopment areas,,,1963,14,1400,14,1400,0,,,0.0,0.0,1.0,100.0,1,,14,L2_Heterogeneous_Match
61,61,382427,98-S-403,98,S,403,Christopher J. Dodd,A bill to require the Secretary of Housing and Urban Development to administer a demonstration program for assisting communities and nonprofit organizations in providing emergency shelter.,2/2/83,2.0,1983,14,1409,14,1409,0,,0,0.0,0.0,0.0,100.0,2,,14,L2_Heterogeneous_Match
62,62,295397,101-S-3260,101,S,3260,David Ferdinand Durenberger,A bill to amend the Internal Revenue Code of 1986 to impose an excise tax on insurance companies not meeting certain coverage and rating standards with respect to health insurance provided to small companies.,10/26/90,10.0,1990,15,1505,15,1505,0,,0,0.0,0.0,0.0,200.0,2,,3,L3_Expert_Consensus
63,63,286503,114-HR-4549,114,hr,4549,Greg Walden,"To require the Transportation Security Administration to conduct security screening at certain airports, and for other purposes.",2002/11/16,2.0,2016,10,1003,10,1003,0,,,1.0,0.0,1.0,200.0,0,.,10,L2_Heterogeneous_Match
64,64,59674,82-HR-4740,82,HR,4740,"Rooney, John J.","Making appropriations for the Departments of State, Justice, Commerce, and the Judiciary, for the fiscal year ending June 30, 1952, and for other purposes",,,1951,1,100,1,100,1,,,1.0,1.0,1.0,100.0,1,,20,L2_Heterogeneous_Match
65,65,144493,89-HR-4472,89,HR,4472,"Celler, Emanuel",To prohibit the charging of a fee to view telecasts in the home,,,1965,17,1707,17,1707,0,,,0.0,0.0,1.0,100.0,1,,17,L2_Heterogeneous_Match
66,66,264897,96-HR-4680,96,HR,4680,Edgar Lanier Ed Jenkins,A bill to amend the Tariff Schedules of the United States with respect to the definition of rubber.,6/28/79,6.0,1979,18,1807,18,1807,0,,0,0.0,0.0,1.0,100.0,1,,18,L2_Heterogeneous_Match
67,67,299229,102-S-861,102,S,861,J. Strom Thurmond,A bill to amend title 18 of the United States Code to permit the prosecution of a murder of a United States national abroad.,4/18/91,4.0,1991,19,1929,19,1929,0,,0,0.0,0.0,0.0,200.0,2,,12,L2_Heterogeneous_Match
68,68,89510,85-HR-2859,85,HR,2859,"Church, Marguerite Stitt","To exempt from taxation certain property of the National Association of Colored Womens Clubs, Inc., in the District of Columbia.",,,1957,2,201,2,201,0,,,0.0,0.0,0.0,200.0,1,,1,L3_Expert_Consensus
69,69,203878,92-HR-4748,92,HR,4748,"Perkins, Carl D.","To amend title II of the Social Security Act to increase all benefits thereunder by 20 percent, and to provide that full benefits (when based on attainment of retirement age) will be payable to both men and women at age 60",,,1971,13,1303,13,1303,0,,,0.0,0.0,1.0,100.0,1,,13,L2_Heterogeneous_Match
70,70,134579,88-HR-7352,88,HR,7352,"Findley, Paul",To authorize the coinage of 50-cent pieces in commemoration of the 100th anniversary of the delivery of Lincolns immortal address at Gettysburg,,,1963,20,2006,20,2006,0,,,0.0,0.0,0.0,200.0,1,,20,L2_Heterogeneous_Match
71,71,288523,99-HR-9,99,HR,9,Royden Patrick Dyson,"A bill to amend the Federal Water Pollution Control Act to provide for the enhanced water quality of the Chesapeake and Narragansett Bays, and for other purposes.",1/3/85,1.0,1985,7,710,7,710,0,,0,0.0,0.0,1.0,100.0,1,,7,L2_Heterogeneous_Match
72,72,216411,93-HR-11925,93,HR,11925,Leslie Aspin,A bill; temporary tax on energy corporations; incentive investment deduction for increased net capital outlays.,12/12/73,12.0,1973,8,800,8,800,0,,0,0.0,0.0,1.0,100.0,1,,8,L3_Expert_Consensus
73,73,249070,94-HR-14836,94,HR,14836,"Wright, James C., Jr.",A bill to direct the Administrator of General Services to acquire by exchange certain property in the possession of the Texas National Guard.,7/22/76,7.0,1976,21,2100,21,2100,0,,0,0.0,0.0,1.0,100.0,1,,20,L2_Heterogeneous_Match
74,74,177151,90-HR-18759,90,HR,18759,"Shipley, George E.",To amend section 201 of the Revenue and Expenditure Control Act of 1968,,,1968,1,105,1,105,0,,,0.0,0.0,1.0,100.0,1,,1,L2_Heterogeneous_Match
75,75,434113,109-HR-4347,109,HR,4347,Julia M. Carson,To end homelessness in the United States.,11/16/05,11.0,2005,14,1409,14,1409,0,,0,,0.0,0.0,100.0,1,,13,L2_Heterogeneous_Match
76,76,83826,84-HR-9662,84,HR,9662,"Scott, Hugh D. Jr.","To amend the Railroad Retirement Act of 1937 to provide increases in benefits, and for other purposes.",,,1956,5,503,5,503,0,,,0.0,0.0,0.0,200.0,1,,5,L2_Heterogeneous_Match
77,77,224343,93-HR-13108,93,HR,13108,Craig Hosmer,"A bill to provide for the regulation of surface coal mining operations, to authorize the Secretary of the Interior to make grants to States to encourage the State regulation of surface coal mining.",2/27/74,2.0,1974,8,805,8,805,0,,0,0.0,0.0,0.0,200.0,1,,8,L3_Expert_Consensus
78,78,359619,91-S-4351,91,S,4351,"Tower, John G.",A bill relating to compensation in the case of disability or death of marine petroleum workers,,,1970,5,501,5,501,0,,,0.0,0.0,0.0,200.0,2,,5,L2_Heterogeneous_Match
79,79,124179,87-HR-10390,87,HR,10390,"Perkins, Carl D.","To assist the States in providing necessary instruction for adults not proficient in basic educational skills in order to achieve the higher levels of education demanded by industry, agriculture, commerce, and national preparedness, through grants to Stat",,,1962,6,604,6,604,0,,,0.0,0.0,1.0,100.0,1,,6,L2_Heterogeneous_Match
80,80,305803,104-S-127,104,S,127,Daniel Patrick Moynihan,"A bill to improve the administration of the Women's Rights National Historical Park in the State of New York, and for other purposes.",1/4/95,1.0,1995,21,2101,21,2101,0,,0,0.0,0.0,0.0,100.0,2,,21,L2_Heterogeneous_Match
81,81,356330,91-S-759,91,S,759,"Bible, Alan H.","A bill to declare that the United States holds in trust for the Washoe Tribe of Indians certain lands in Alpine County, Calif",,,1969,21,2102,21,2102,1,,,1.0,1.0,1.0,100.0,2,,21,L2_Heterogeneous_Match
82,82,47042,81-HR-1647,81,HR,1647,"Hoeven, Charles B.",To amend the Commodity Credit Corporation Charter Act with reference to the general powers of Commodity Credit Corporation,,,1949,15,1502,15,1502,0,,,0.0,0.0,0.0,200.0,1,,4,L2_Heterogeneous_Match
83,83,1331,100-HR-1631,100,HR,1631,Donald E. Don Young,A bill to accept the findings and implement the recommendations of the Commission on Wartime and Internment of Civilians with respect to the Aleut people.,3/17/87,3.0,1987,21,2102,21,2102,0,,0,0.0,0.0,0.0,200.0,1,,19,L2_Heterogeneous_Match
84,84,86031,84-HR-11929,84,HR,11929,"Prouty, Winston L.",To provide for the establishment of a Veterans Administration domiciliary facility in the State of Vermont.,,,1956,3,322,3,322,0,,,0.0,0.0,0.0,200.0,1,,3,L3_Expert_Consensus
85,85,441041,110-HR-4839,110,HR,4839,Charles B. Rangel,"To amend the Internal Revenue Code of 1986 to make technical corrections, and for other purposes.",12/19/07,12.0,2007,1,107,1,107,1,12/29/07,110-172,1.0,1.0,1.0,200.0,1,,1,L2_Heterogeneous_Match
86,86,1008341,113-S-2452,113,S,2452, Tom Harkin,An original bill to support early learning.,2006/10/14,6.0,2014,6,603,6,603,0,,,0.0,0.0,1.0,100.0,2,0,6,L2_Heterogeneous_Match
87,87,340852,87-S-708,87,S,708,"Keating, Kenne","A bill to amend the Trading With the Enemy Act, as amended, so as to provide for certain payments for the relief and rehabilitation of needy victims of Nazi persecution, and for other purposes.",,,1961,18,1899,18,1899,0,,,0.0,0.0,0.0,200.0,2,,19,L2_Heterogeneous_Match
88,88,447233,111-H-4322,111,HR,4322,John P. Sarbanes,To establish a National Foundation on Physical Fitness and Sports to carry out activities to support and supplement the mission of the President's Council on Physical Fitness and Sports.,12/15/09,12.0,2009,6,699,6,699,0,0000-00-00,,0.0,0.0,1.0,100.0,1,0,6,L3_Expert_Consensus
89,89,171739,90-HR-13453,90,HR,13453,"Celler, Emanuel","To amend the Immigration and Nationality Act, and for other purposes",,,1967,9,900,9,900,0,,,0.0,0.0,1.0,100.0,1,,9,L2_Heterogeneous_Match
90,90,285567,98-HR-3370,98,HR,3370,James Joseph Florio,"A bill to provide compensation for the disability and death of Federal law enforcement officers resulting from injuries sustained while making arrests for certain violations of State criminal laws, and for other purposes.",6/21/83,6.0,1983,12,1209,12,1227,0,,0,0.0,0.0,1.0,100.0,1,,12,L3_Expert_Consensus
91,91,6421,101-HR-1067,101,HR,1067,Walter Wally Herger,To deny nondiscriminatory (most-favored-nation) trade treatment to the products of India.,2/22/89,2.0,1989,18,1802,18,1802,0,,0,0.0,0.0,0.0,200.0,1,,18,L2_Heterogeneous_Match
92,92,52468,81-HR-7160,81,HR,7160,"Barden, Graham A.",To provide for Federal financial assistance to the States and Territories in helping to establish and maintain an adequate minimum program of education and in attempting to more nearly equalize educational opportunities in public elementary and secondary ,,,1950,6,602,6,602,0,,,0.0,0.0,1.0,100.0,1,,6,L2_Heterogeneous_Match
93,93,228655,93-HR-17209,93,HR,17209,Robert Dale Price,A bill to extend the tariff schedules of the United States with respect to the rate of duty on bale ties for baling cotton.,10/9/74,10.0,1974,18,1807,18,1807,0,,0,0.0,0.0,0.0,200.0,1,,18,L2_Heterogeneous_Match
94,94,74519,84-HR-405,84,HR,405,"Budge, Hamer H.",To abolish free transmission of official Government mail matter and certain other mail matter,,,1955,20,2003,20,2003,0,,,0.0,0.0,0.0,200.0,1,,20,L2_Heterogeneous_Match
95,95,388405,80-S-1847,80,S,1847,"George, Walter","A bill conferring jurisdiction on the United States District Court for the Middle District of Georgia to hear, determine, and render monetary judgment upon the claims of the city of Macon, Ga",,,1947,12,1204,12,1204,0,,,0.0,0.0,0.0,100.0,2,,12,L2_Heterogeneous_Match
96,96,256145,95-HR-2884,95,HR,2884,George William Whitehurst,A bill to require the Secretary of the Interior to make a comprehensive study of the wolf for the purpose of developing adequate conservation measures.,2/1/77,2.0,1977,7,709,7,709,0,,0,0.0,0.0,0.0,200.0,1,,7,L2_Heterogeneous_Match
97,97,291358,99-HR-4694,99,HR,4694,Rodney Dennis Chandler,A bill to grant certain employee benefit plans additional time to comply with the requirements of recent legislation affecting such plans.,4/29/86,4.0,1986,5,503,5,503,0,,0,0.0,0.0,0.0,200.0,1,,5,L2_Heterogeneous_Match
98,98,153708,89-HR-13666,89,HR,13666,"Staggers, Harley O.","To-establish, safety, standards for motor vehicle tires old or-shipped in interstate, commerce andFor other purposes.",,,1966,10,1006,10,1006,0,,,0.0,0.0,1.0,100.0,1,,10,L2_Heterogeneous_Match
99,99,352099,90-S-586,90,S,586,"Ribicoff, Abra",A bill to provide for a census every 5 years of the Nations urban areas,,,1967,20,2013,20,2013,0,,,0.0,0.0,1.0,100.0,2,,20,L2_Heterogeneous_Match
